car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,last_charger_id,msg,t,to_charger_id,walking_dist_m
Car 59,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",468.0,4,
Car 9,,,,3,,arrived,,arrived,472.0,,
Car 9,,12,3,,,start_charge,,starting to charge at Charger 3 (fid=12),472.0,,
Car 59,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",472.1514504379504,1,
Car 59,,,,,1,switch,,"Charger 1 (fid=33) not available, trying Charger 5 (fid=47)",478.56048888171506,5,
Car 59,,47,5,,,start_charge,,starting to charge at Charger 5 (fid=47),480.51603168616174,,
Car 64,,,,11,,arrived,,arrived,493.0,,
Car 64,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 0 (fid=115)",494.0,0,
Car 64,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 2 (fid=8)",498.1514504379504,2,
Car 32,,,,4,,arrived,,arrived,501.0,,
Car 32,,8,2,,,start_charge,,starting to charge at Charger 2 (fid=8),501.0,,
Car 64,,,,,2,switch,,"Charger 2 (fid=8) not available, trying Charger 5 (fid=47)",504.916686852019,5,
Car 57,,,,26,,arrived,,arrived,505.0,,
Car 57,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",506.0,4,
Car 82,54.0,11,4,,,done,,done charging,507.79050609035977,,540.8684574688962
Car 57,,11,4,,,start_charge,,starting to charge at Charger 4 (fid=11),509.1514504379504,,
Car 35,,,,74,,arrived,,arrived,510.0,,
Car 35,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 0 (fid=115)",511.0,0,
Car 64,,,,,5,switch,,"Charger 5 (fid=47) not available, trying Charger 3 (fid=12)",511.39808138618764,3,
Car 35,,,,,0,switch,,"Charger 0 (fid=115) not available, trying Charger 4 (fid=11)",517.4841350972821,4,
Car 66,58.0,33,1,,,done,,done charging,520.0446239789972,,565.4124671575452
Car 64,,,,,3,switch,,"Charger 3 (fid=12) not available, trying Charger 1 (fid=33)",520.4989018631634,1,
Car 35,,,,,4,switch,,"Charger 4 (fid=11) not available, trying Charger 1 (fid=33)",521.6355855352325,1,
Car 60,,,,76,,arrived,,arrived,525.0,,
