car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,waited,walking_dist_m
Car 128,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",270.0,8,,
Car 14,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),270.0,,0.0,
Car 128,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),270.8129589816491,,5.0,
Car 134,,,,63,,arrived,arrived,271.0,,,
Car 235,,,,21,,arrived,arrived,274.0,,,
Car 235,,12,10,,,start_charge,starting to charge at Charger 10 (fid=12),274.0,,0.0,
Car 253,55.0,51,9,,,done,done charging,275.15622591677675,,,177.1905918411081
Car 134,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",276.0,8,,
Car 134,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),276.8129589816491,,5.0,
Car 130,,,,75,,arrived,arrived,277.0,,,
Car 330,,,,81,,arrived,arrived,277.0,,,
Car 130,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),277.0,,0.0,
Car 330,,81,11,,,start_charge,starting to charge at Charger 11 (fid=81),277.0,,0.0,
Car 256,,,,36,,arrived,arrived,278.0,,,
Car 256,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),278.0,,0.0,
Car 288,,,,39,,arrived,arrived,282.0,,,
Car 297,,,,37,,arrived,arrived,282.0,,,
Car 328,,,,15,,arrived,arrived,283.0,,,
Car 369,,,,66,,arrived,arrived,283.0,,,
Car 328,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),283.0,,0.0,
Car 293,51.0,51,9,,,done,done charging,284.0,,,128.4087684895338
Car 288,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),284.0,,2.0,
Car 9,120.0,17,4,,,done,done charging,285.0,,,226.96083866827195
Car 297,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),285.0,,3.0,
Car 324,61.0,17,2,,,done,done charging,286.0,,,161.3068235537577
Car 375,88.0,19,3,,,done,done charging,287.0,,,10.798154749778018
Car 67,,,,73,,arrived,arrived,288.0,,,
Car 368,,,,37,,arrived,arrived,288.0,,,
Car 416,77.0,31,13,,,done,done charging,288.0,,,21.882619587212005
Car 369,,,,,9,switch,"Charger 9 (fid=51) not available, trying Charger 2 (fid=17)",288.0,2,,
Car 478,,,,5,,arrived,arrived,290.0,,,
Car 24,68.0,31,13,,,done,done charging,290.0,,,0.0
Car 17,,,,60,,arrived,arrived,291.0,,,
Car 369,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),291.15622591677675,,5.0,
Car 67,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",293.0,2,,
Car 368,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",293.0,2,,
Car 300,89.0,51,9,,,done,done charging,294.15622591677675,,,177.1905918411081
Car 17,,51,9,,,start_charge,starting to charge at Charger 9 (fid=51),294.15622591677675,,3.156225916776748,
Car 309,,,,72,,arrived,arrived,295.0,,,
Car 229,69.0,17,4,,,done,done charging,295.0,,,50.44993305249392
Car 478,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",295.0,8,,
Car 309,,31,13,,,start_charge,starting to charge at Charger 13 (fid=31),295.0,,0.0,
Car 67,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),295.36280346164455,,5.0,
Car 239,119.0,17,2,,,done,done charging,295.3628034616446,,,242.86211358091026
Car 368,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),295.3628034616446,,5.000000000000057,
Car 478,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),295.8129589816491,,5.0,
Car 38,47.0,34,7,,,done,done charging,299.19426464280184,,,21.588408185880915
Car 340,,,,1,,arrived,arrived,302.0,,,
Car 71,,,,46,,arrived,arrived,303.0,,,
Car 291,,,,2,,arrived,arrived,304.0,,,
Car 291,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),304.0,,0.0,
Car 456,73.0,17,4,,,done,done charging,305.0,,,195.64407842046415
Car 71,,17,4,,,start_charge,starting to charge at Charger 4 (fid=17),305.0,,2.0,
Car 119,51.0,1,0,,,done,done charging,306.84494513589743,,,213.33270641181412
Car 340,,1,0,,,start_charge,starting to charge at Charger 0 (fid=1),306.84494513589743,,4.844945135897433,
Car 275,111.0,7,1,,,done,done charging,307.0,,,169.34619099642447
Car 385,61.0,1,0,,,done,done charging,311.84494513589743,,,214.70989851421444
Car 186,,,,37,,arrived,arrived,313.0,,,
Car 294,,,,67,,arrived,arrived,313.0,,,
Car 104,,,,42,,arrived,arrived,314.0,,,
Car 243,,,,74,,arrived,arrived,317.0,,,
Car 474,,,,36,,arrived,arrived,317.0,,,
Car 243,,12,10,,,start_charge,starting to charge at Charger 10 (fid=12),317.0,,0.0,
Car 474,,34,7,,,start_charge,starting to charge at Charger 7 (fid=34),317.0,,0.0,
Car 186,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 2 (fid=17)",318.0,2,,
Car 294,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",318.0,8,,
Car 470,78.0,1,0,,,done,done charging,318.3252701009028,,,265.66932660166555
Car 128,48.0,34,8,,,done,done charging,318.8129589816491,,,218.21756451993505
Car 294,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),318.8129589816491,,5.0,
Car 188,,,,30,,arrived,arrived,319.0,,,
Car 110,100.0,31,13,,,done,done charging,319.0,,,60.66664080036635
Car 104,,,,,4,switch,"Charger 4 (fid=17) not available, trying Charger 8 (fid=34)",319.0,8,,
Car 188,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),319.0,,0.0,
Car 14,50.0,51,9,,,done,done charging,320.0,,,163.6678377812614
Car 280,,,,28,,arrived,arrived,321.0,,,
Car 120,79.0,34,8,,,done,done charging,321.0,,,0.0
Car 104,,34,8,,,start_charge,starting to charge at Charger 8 (fid=34),321.0,,6.187041018350897,
Car 41,101.0,31,13,,,done,done charging,321.94815350907356,,,216.28389623361738
Car 349,,,,58,,arrived,arrived,325.0,,,
Car 349,,7,1,,,start_charge,starting to charge at Charger 1 (fid=7),325.0,,0.0,
Car 186,,,,,2,switch,"Charger 2 (fid=17) not available, trying Charger 8 (fid=34)",325.36280346164455,8,,
Car 280,,,,,8,switch,"Charger 8 (fid=34) not available, trying Charger 4 (fid=17)",326.0,4,,
Car 11,63.0,17,2,,,done,done charging,326.36280346164455,,,305.2336888434575
Car 281,,,,15,,arrived,arrived,328.0,,,
Car 49,113.0,17,4,,,done,done charging,328.0,,,35.968865217030135
Car 281,,17,2,,,start_charge,starting to charge at Charger 2 (fid=17),328.0,,0.0,
