car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 259,,,,32,,arrived,arrived,283.0,,
Car 259,,,,,1,switch,"Charger 1 (fid=33) not available, trying Charger 15 (fid=26)",284.0,15,
Car 250,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 26 (fid=57)",284.5199070753431,26,
Car 267,79.0,31,6,,,done,done charging,285.0,,65.52816383322315
Car 178,,,,,2,switch,"Charger 2 (fid=8) not available, trying Charger 6 (fid=31)",285.2372955670068,6,
Car 259,,,,,15,switch,"Charger 15 (fid=26) not available, trying Charger 9 (fid=28)",285.64517426955666,9,
Car 201,,,,42,,arrived,arrived,286.0,,
Car 201,,47,5,,,start_charge,starting to charge at Charger 5 (fid=47),286.0,,
Car 250,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 20 (fid=56)",286.6179217599612,20,
Car 47,,,,74,,arrived,arrived,287.0,,
Car 223,,,,71,,arrived,arrived,287.0,,
Car 277,,,,4,,arrived,arrived,287.0,,
Car 47,,12,3,,,start_charge,starting to charge at Charger 3 (fid=12),287.0,,
Car 259,,,,,9,switch,"Charger 9 (fid=28) not available, trying Charger 29 (fid=23)",287.4767876018279,29,
Car 250,,56,20,,,start_charge,starting to charge at Charger 20 (fid=56),287.76182795553177,,
Car 245,83.0,82,21,,,done,done charging,287.88275338799724,,177.7262067442339
Car 223,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 26 (fid=57)",288.0,26,
Car 277,,,,,4,switch,"Charger 4 (fid=11) not available, trying Charger 22 (fid=51)",288.0,22,
Car 85,,,,90,,arrived,arrived,289.0,,
Car 85,,,,,18,switch,"Charger 18 (fid=88) not available, trying Charger 10 (fid=86)",290.0,10,
Car 259,,,,,29,switch,"Charger 29 (fid=23) not available, trying Charger 6 (fid=31)",290.0881520532016,6,
Car 223,,,,,26,switch,"Charger 26 (fid=57) not available, trying Charger 28 (fid=35)",290.0980146846181,28,
Car 178,,31,6,,,start_charge,starting to charge at Charger 6 (fid=31),290.4248148675867,,
Car 85,,86,10,,,start_charge,starting to charge at Charger 10 (fid=86),291.34761106042527,,
Car 212,83.0,78,13,,,done,done charging,291.80113215701283,,288.7249946615045
Car 277,,51,22,,,start_charge,starting to charge at Charger 22 (fid=51),291.81589163605116,,
Car 223,,,,,28,switch,"Charger 28 (fid=35) not available, trying Charger 12 (fid=33)",292.4676169404892,12,
Car 259,,,,,6,switch,"Charger 6 (fid=31) not available, trying Charger 24 (fid=48)",293.15820808505697,24,
Car 223,,,,,12,switch,"Charger 12 (fid=33) not available, trying Charger 19 (fid=21)",293.76652128494464,19,
Car 176,,,,19,,arrived,arrived,294.0,,
Car 30,55.0,26,15,,,done,done charging,294.8147656516362,,106.57256155958785
Car 221,,,,66,,arrived,arrived,295.0,,
Car 99,99.0,65,27,,,done,done charging,295.0,,161.12587113812197
Car 176,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",295.0,0,
Car 221,,66,23,,,start_charge,starting to charge at Charger 23 (fid=66),295.0,,
Car 259,,,,,24,switch,"Charger 24 (fid=48) not available, trying Charger 5 (fid=47)",295.67117814632076,5,
Car 176,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 25 (fid=70)",296.84230731736017,25,
Car 223,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 20 (fid=56)",296.9287381648945,20,
Car 259,,,,,5,switch,"Charger 5 (fid=47) not available, trying Charger 19 (fid=21)",297.8532364246884,19,
Car 176,,,,,25,switch,"Charger 25 (fid=70) not available, trying Charger 7 (fid=22)",299.3042595913983,7,
Car 223,,,,,20,switch,"Charger 20 (fid=56) not available, trying Charger 0 (fid=115)",300.1831984236352,0,
Car 203,76.0,75,17,,,done,done charging,300.8914066611921,,148.79444202525764
Car 139,111.0,57,26,,,done,done charging,301.0,,21.08841913828849
Car 170,108.0,22,7,,,done,done charging,302.0,,117.1591524855416
Car 176,,22,7,,,start_charge,starting to charge at Charger 7 (fid=22),302.0,,
Car 259,,,,,19,switch,"Charger 19 (fid=21) not available, trying Charger 0 (fid=115)",303.05414831644504,0,
Car 223,,,,,0,switch,"Charger 0 (fid=115) not available, trying Charger 14 (fid=28)",303.45927012026596,14,
