car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 114,,76,1,,,start_charge,starting to charge at Charger 1 (fid=76),798.8976695341206,,
Car 34,,,,,16,switch,"Charger 16 (fid=25) not available, trying Charger 3 (fid=17)",799.9364224755674,3,
Car 94,,,,,16,switch,"Charger 16 (fid=25) not available, trying Charger 3 (fid=17)",799.9364224755674,3,
Car 34,,,,,3,switch,"Charger 3 (fid=17) not available, trying Charger 7 (fid=81)",802.6076283456188,7,
Car 94,,,,,3,switch,"Charger 3 (fid=17) not available, trying Charger 7 (fid=81)",802.6076283456188,7,
Car 45,47.0,34,13,,,done,done charging,803.0,,51.06657532665533
Car 34,,81,7,,,start_charge,starting to charge at Charger 7 (fid=81),804.1526191574636,,
Car 94,,,,,7,switch,"Charger 7 (fid=81) not available, trying Charger 10 (fid=34)",805.1526191574636,10,
Car 128,95.0,61,6,,,done,done charging,812.0,,162.72471377920127
Car 94,,,,,10,switch,"Charger 10 (fid=34) not available, trying Charger 9 (fid=9)",812.2746592854791,9,
Car 8,62.0,71,14,,,done,done charging,813.1327239675247,,190.3141535219746
Car 99,50.0,2,11,,,done,done charging,814.0,,199.47018765055708
Car 102,51.0,70,2,,,done,done charging,814.5951855518377,,53.71121607359906
Car 94,,9,9,,,start_charge,starting to charge at Charger 9 (fid=9),817.9636947445043,,
Car 149,,,,88,,arrived,arrived,819.0,,
Car 149,,,,,1,switch,"Charger 1 (fid=76) not available, trying Charger 11 (fid=2)",820.0,11,
Car 149,,2,11,,,start_charge,starting to charge at Charger 11 (fid=2),821.8976695341206,,
Car 129,55.0,30,15,,,done,done charging,826.5816946874774,,149.99235890073956
Car 25,50.0,31,0,,,done,done charging,828.9168175022264,,105.4254927754751
Car 30,,,,33,,arrived,arrived,835.0,,
Car 33,62.0,34,10,,,done,done charging,835.0,,140.17492498774848
Car 30,,34,13,,,start_charge,starting to charge at Charger 13 (fid=34),835.0,,
