car,charge_time,charger_fid,charger_id,destination_fid,from_charger_id,kind,msg,t,to_charger_id,walking_dist_m
Car 15,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 1 (fid=20)",1180.2981393821472,1,
Car 15,,,,,1,switch,"Charger 1 (fid=20) not available, trying Charger 7 (fid=69)",1183.6277342351243,7,
Car 15,,,,,7,switch,"Charger 7 (fid=69) not available, trying Charger 16 (fid=56)",1185.3329430367412,16,
Car 23,,,,90,,arrived,arrived,1187.0,,
Car 15,,56,16,,,start_charge,starting to charge at Charger 16 (fid=56),1187.5324626253978,,
Car 23,,,,,3,switch,"Charger 3 (fid=84) not available, trying Charger 4 (fid=7)",1188.0,4,
Car 86,64.0,75,10,,,done,done charging,1190.6662617575748,,313.6262037489413
Car 23,,,,,4,switch,"Charger 4 (fid=7) not available, trying Charger 14 (fid=5)",1192.0985021641397,14,
Car 5,50.0,28,13,,,done,done charging,1194.8559066030543,,339.20706566068867
Car 21,54.0,5,14,,,done,done charging,1196.0,,120.05978941580736
Car 23,,5,14,,,start_charge,starting to charge at Charger 14 (fid=5),1196.0,,
Car 101,111.0,51,2,,,done,done charging,1197.0,,235.34615742548542
Car 51,45.0,20,1,,,done,done charging,1208.4611414458216,,225.65503891667748
Car 100,60.0,84,3,,,done,done charging,1208.5142837216695,,258.10523027284296
Car 10,53.0,12,15,,,done,done charging,1222.3133154749946,,263.2217692732351
Car 35,96.0,54,17,,,done,done charging,1224.2981393821472,,132.9157860691881
Car 66,113.0,7,4,,,done,done charging,1226.0985021641397,,242.47740376783813
Car 50,,,,6,,arrived,arrived,1230.0,,
Car 50,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),1230.0,,
Car 55,,,,41,,arrived,arrived,1233.0,,
Car 55,,47,9,,,start_charge,starting to charge at Charger 9 (fid=47),1233.0,,
Car 7,60.0,69,7,,,done,done charging,1237.3329430367412,,169.4978659812736
Car 15,55.0,56,16,,,done,done charging,1242.5324626253978,,177.10809800783727
Car 17,,,,117,,arrived,arrived,1247.0,,
Car 17,,12,15,,,start_charge,starting to charge at Charger 15 (fid=12),1247.0,,
Car 43,,,,63,,arrived,arrived,1248.0,,
Car 43,,65,12,,,start_charge,starting to charge at Charger 12 (fid=65),1248.0,,
Car 54,,,,29,,arrived,arrived,1299.0,,
Car 54,,,,,13,switch,"Charger 13 (fid=28) not available, trying Charger 17 (fid=54)",1300.0,17,
Car 80,,,,37,,arrived,arrived,1302.0,,
Car 54,,54,17,,,start_charge,starting to charge at Charger 17 (fid=54),1302.2981393821472,,
Car 67,,,,25,,arrived,arrived,1303.0,,
Car 80,,,,,12,switch,"Charger 12 (fid=65) not available, trying Charger 17 (fid=54)",1303.0,17,
Car 67,,20,1,,,start_charge,starting to charge at Charger 1 (fid=20),1303.0,,
Car 23,108.0,5,14,,,done,done charging,1304.0,,248.890201350357
Car 80,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 0 (fid=42)",1307.6798694107324,0,
Car 80,,42,0,,,start_charge,starting to charge at Charger 0 (fid=42),1310.2818706962803,,
Car 63,,,,22,,arrived,arrived,1316.0,,
Car 63,,13,8,,,start_charge,starting to charge at Charger 8 (fid=13),1316.0,,
Car 77,,,,9,,arrived,arrived,1317.0,,
Car 77,,8,11,,,start_charge,starting to charge at Charger 11 (fid=8),1317.0,,
Car 50,88.0,28,13,,,done,done charging,1318.0,,226.23468890666004
Car 55,89.0,47,9,,,done,done charging,1322.0,,73.74885140723116
Car 17,81.0,12,15,,,done,done charging,1328.0,,275.46395408232695
Car 43,92.0,65,12,,,done,done charging,1340.0,,55.41223491629054
Car 84,,,,16,,arrived,arrived,1343.0,,
Car 84,,,,,17,switch,"Charger 17 (fid=54) not available, trying Charger 13 (fid=28)",1344.0,13,
Car 85,,,,31,,arrived,arrived,1346.0,,
Car 85,,30,6,,,start_charge,starting to charge at Charger 6 (fid=30),1346.0,,
Car 84,,28,13,,,start_charge,starting to charge at Charger 13 (fid=28),1346.2981393821472,,
Car 54,64.0,54,17,,,done,done charging,1366.2981393821472,,186.17221997795122
Car 67,87.0,20,1,,,done,done charging,1390.0,,121.0393168431692
Car 27,,,,4,,arrived,arrived,1395.0,,
Car 27,,65,12,,,start_charge,starting to charge at Charger 12 (fid=65),1395.0,,
Car 63,83.0,13,8,,,done,done charging,1399.0,,69.12834146429454
Car 77,89.0,8,11,,,done,done charging,1406.0,,118.27804678478897
